"id","name","aff_val","open_val","play_val","train_val","energy_val","ind_val"
1,"Abyssinian",0.01,0.5,0.4,0.2,0.8,0.2
2,"Aegean",0.6,0.6,0.6,0.6,0.6,-0.2
3,"American Bobtail",0.8,1,0.4,0.2,0.2,0.8
4,"American Curl",1,1,0.2,0.4,0.2,0.01
5,"American Longhair",0.6,1,0.2,0.4,0.01,-0.2
6,"Extra-Toes Cat / Hemingway Polydactyl",1,1,0.01,0.6,0.01,0.01
7,"American Shorthair",0.6,0.8,0.2,0.6,0.2,0.01
8,"American Wirehair",0.8,0.8,0.6,0.8,0.2,0.01
9,"Asain Semi-Longhair",1,1,0.6,0.6,0.01,-0.6
10,"Australian Mist",0.6,0.6,0.6,0.6,0.01,0.01
11,"Balinese",1,1,0.6,0.8,0.2,-0.6
12,"Bengal",1,0.6,0.8,1,0.8,0.01
13,"Birman",1,0.8,0.6,0.6,0.4,-0.4
14,"Bombay",0.8,0.8,0.8,0.8,0.4,-0.4
17,"British Shorthair",0.8,0.8,0.4,0.8,0.2,-0.4
18,"Burmese",1,1,0.6,1,0.6,-0.6
19,"Burmilla",1,0.8,0.6,0.8,0.4,0.01
22,"Chartreux",0.6,0.6,0.4,0.6,0.01,0.01
23,"Chausie",0.8,0.4,1,1,1,0.6
25,"Cornish Rex",1,1,1,1,1,-0.8
26,"Cymric",0.8,0.8,0.8,1,0.6,0.01
27,"Devon Rex",1,0.8,0.6,1,1,-0.8
30,"Egyptian Mau",0.8,0.01,0.8,1,0.6,-0.4
31,"European Shorthair",0.4,0.4,0.6,0.8,0.4,0.4
32,"Exotic Shorthair",1,0.8,0.6,0.4,0.4,-0.2
34,"Havana",1,1,0.6,0.4,1,-0.8
35,"Himalayan",1,1,0.4,0.8,0.01,-0.4
36,"Japanese Bobtail",1,1,0.8,1,0.8,-0.2
37,"Javanese",1,1,1,0.8,1,-0.8
38,"Korat",1,0.6,0.6,1,0.6,-0.2
40,"Maine Coon",1,1,0.2,0.6,0.01,-0.4
41,"Manx",0.8,0.4,1,1,1,0.4
43,"Munchkin",1,1,1,1,0.8,-0.6
44,"Nebelung",0.6,0.6,0.6,0.6,0.6,-0.2
45,"Norwegian Forest Cat",0.6,0.6,0.6,0.6,0.6,0.2
46,"Ocicat",0.6,0.6,1,0.6,1,-0.2
49,"Oriental Tabby",0.6,0.6,0.6,0.6,0.6,0.6
50,"Oriental Long Hair",1,1,1,1,1,1
51,"Oriental Short Hair",1,1,1,1,1,1
52,"Persian",0.6,0.6,0.4,-0.2,-0.6,-0.6
54,"Pixiebob",1,0.6,0.6,1,0.6,0.6
55,"Ragamuffin",0.6,-0.2,0.2,0.6,-0.2,-0.2
56,"Ragdoll",0.6,-0.2,0.6,0.6,-0.2,-0.2
57,"Russian Blue",0.2,0.2,0.2,0.6,0.2,0.6
59,"Scottish Fold",0.6,0.4,0.6,-0.2,0.6,0.6
60,"Selkirk Rex",0.6,0.6,0.2,0.2,-0.2,0.2
62,"Siamese",0.6,1,1,1,0.6,-0.6
63,"Siberian",0.6,0.2,0.6,0.6,0.2,0.2
64,"Singapura",0.6,1,1,0.6,0.6,0.2
65,"Snowshoe",1,0.6,1,0.6,0.6,0.6
67,"Somali",0.6,0.6,1,0.6,1,0.2
68,"Sphynx / Hairless Cat",1,1,1,1,0.6,-0.6
69,"Applehead Siamese",0.6,0.4,1,1,1,0.2
70,"Tonkinese",0.6,0.6,0.6,1,0.6,-0.2
71,"Toyger",1,0.2,1,1,1,0.2
72,"Turkish Angora",0.6,0.6,0.6,0.6,0.6,-0.2
73,"Turkish Van",0.6,0.6,0.6,0.6,1,0.4
77,"York Chocolate",1,1,0.6,1,1,0.2
78,"Canadian Hairless",1,1,1,1,0.6,-0.6
79,"Domestic Long Hair",0.6,1,0.2,0.4,0.01,-0.2
80,"Domestic Short Hair",0.6,0.8,0.2,0.6,0.2,0.01
81,"Domestic Medium Hair",0.6,1,0.2,0.4,0.01,-0.2
82,"Chinchilla",0.6,0.6,0.4,-0.2,-0.6,-0.6
83,"LaPerm",1,0.6,0.6,0.6,0.6,0.01
